#{"t_start": 1775328281.5124178, "env_id": "None"}
r,l,t
-0.963187,30,40.826021
8.229595,30,40.840016
4.601407,30,40.877641
5.266208,30,40.907412
8.822111,30,40.945558
7.077271,30,40.991362
9.005857,30,41.019952
8.491599,30,41.043336
10.390592,30,41.07952
5.487525,30,41.109975
5.316016,30,41.143848
5.830952,30,41.169027
7.027934,30,41.201285
9.187652,30,41.220059
8.153719,30,41.263102
6.754429,30,41.278302
6.784085,30,41.322058
6.042847,30,41.341474
1.828611,30,41.377551
8.664099,30,41.38756
7.876211,30,41.432594
10.005747,30,41.452795
8.811646,30,41.492972
9.357049,30,41.520596
6.294488,30,41.548537
8.892793,30,41.567841
9.703722,30,41.598222
10.29165,30,41.624273
6.047527,30,41.639034
6.794891,30,41.674472
6.097585,30,41.700742
5.836914,30,41.7295
7.672649,30,41.756792
8.342548,30,41.779971
1.888977,30,41.794783
8.50978,30,41.830702
9.873721,30,41.855259
10.077462,30,41.880726
4.971433,30,41.905064
11.181471,30,41.928216
7.176087,30,41.951299
3.709402,30,41.966137
7.490168,30,41.997988
5.638296,30,42.030082
8.649763,30,42.062133
4.686138,30,42.085963
3.770379,30,42.101851
9.832249,30,42.141179
3.707487,30,42.153166
5.640665,30,42.190973
8.431823,30,42.201643
8.70352,30,42.232643
9.427602,30,44.434468
8.576905,30,44.47818
8.573476,30,44.512446
11.123616,30,44.550406
10.338791,30,44.586242
2.322943,30,44.61806
9.788591,30,44.633912
5.521252,30,44.668122
8.539162,30,44.732693
9.323696,30,44.782778
8.632065,30,44.827722
3.454026,30,44.860487
7.742213,30,44.89106
2.344565,30,44.919082
3.316038,30,44.94878
10.126113,30,44.976134
5.530166,30,44.996799
5.294845,30,45.032377
0.928254,30,45.058263
9.549308,30,45.087035
7.555642,30,45.107123
10.231443,30,45.139177
5.093863,30,45.179866
9.946044,30,45.207644
7.063247,30,45.236979
8.848319,30,45.25367
4.529182,30,45.28867
1.043544,30,45.314291
11.42899,30,45.325784
8.35447,30,45.364311
7.549727,30,45.391305
6.719443,30,45.440463
4.698468,30,45.469959
9.815121,30,45.506549
9.990876,30,45.534685
6.310238,30,45.567422
10.404792,30,45.596267
9.590981,30,45.635679
6.322401,30,45.663622
7.314019,30,45.695832
7.268182,30,45.727623
5.867699,30,45.756055
6.224708,30,45.794343
9.03419,30,45.827944
3.206177,30,45.860509
3.928862,30,45.889962
11.180405,30,45.917926
10.039071,30,45.954865
-1.327567,30,45.987675
9.499069,30,46.016412
9.913634,30,46.05289
9.737694,30,46.087933
3.704194,30,46.12666
7.107046,30,46.151795
2.76548,30,46.183872
6.651797,30,46.219024
6.229688,30,46.253751
10.019513,30,46.283729
4.575273,30,46.314634
6.616792,30,46.351804
10.293358,30,46.373227
9.804039,30,46.41496
9.018801,30,46.447205
9.928762,30,46.472258
8.888049,30,46.507449
4.530226,30,46.538218
5.720038,30,46.574178
8.60862,30,46.60547
8.812072,30,48.890217
7.640669,30,48.929681
6.641804,30,48.962845
7.84757,30,49.004164
3.796536,30,49.037553
9.094428,30,49.080179
8.424308,30,49.113196
1.246828,30,49.142283
0.904865,30,49.169469
6.775929,30,49.200361
5.130297,30,49.234534
3.993988,30,49.262347
9.625597,30,49.288706
7.731224,30,49.323421
9.960306,30,49.354788
7.852898,30,49.372051
10.130132,30,49.408153
7.540015,30,49.433896
8.385465,30,49.460153
9.820023,30,49.487217
8.687665,30,49.514347
9.583702,30,49.551415
3.955286,30,49.590288
8.327851,30,49.60415
9.771067,30,49.633864
7.13101,30,49.667501
6.34204,30,49.681345
8.119688,30,49.713088
7.20017,30,49.746399
10.337534,30,49.762601
6.524203,30,49.794247
10.866783,30,49.823398
7.802125,30,49.85161
7.319911,30,49.871667
7.238567,30,49.903632
9.788394,30,49.93229
2.39922,30,49.953952
8.802501,30,49.981069
7.187523,30,50.004242
7.548178,30,50.032653
9.414272,30,50.055854
10.364125,30,50.069225
3.728173,30,50.10145
5.442378,30,50.134603
7.558983,30,50.165531
6.510383,30,50.197947
9.719979,30,50.217106
3.059648,30,50.25013
6.171398,30,50.274318
8.715651,30,50.298145
9.868564,30,50.324925
3.974355,30,50.340634
9.433545,30,50.375839
2.661136,30,50.401823
7.059369,30,50.418067
3.730931,30,50.434115
7.293613,30,50.478208
8.206236,30,50.50395
4.290376,30,50.530521
9.289654,30,50.553876
8.700809,30,50.579316
8.578269,30,50.606852
10.020614,30,50.634526
-0.016376,30,50.648374
4.060295,30,50.680269
7.032153,30,50.698715
1.400617,30,50.733065
4.136512,30,50.747107
5.425718,30,53.027097
8.252651,30,53.065905
4.846842,30,53.097731
9.056384,30,53.140328
5.956038,30,53.180609
5.559726,30,53.225027
6.80855,30,53.253041
8.647191,30,53.289859
4.21705,30,53.303847
7.638313,30,53.347771
9.462987,30,53.380911
11.123178,30,53.410452
3.110168,30,53.442053
7.406436,30,53.465932
4.907836,30,53.498015
8.270983,30,53.513879
4.477029,30,53.553241
7.819006,30,53.580237
